W13 m1,A12 m1,S12 m1,W13 m2,A12 m2,S12 m2,W13 f,S12 f,S11 f
3,2,2,3,2,2,3,2,2
4,4,3,4,3,3,4,3,3
5,6,4,5,4,5,5,4,4
6,8,6,6,5,6,6,5,5
7,9,8,7,6,8,7,6,6
8,10,9,8,7,9,8,7,7
9,,10,9,8,11,9,8,8
10,,,,10,12,10,9,9
,,,,,,11,10,10
,,,,,,12,11,11
,,,,,,13,12,12
,,,,,,,13,13
,,,,,,,14,14
,,,,,,,15,
